[indiv, fitness, expression]
0,1.2134480476379395,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), mult(x, scalar(-0.5112646882434502)))))), sub(mult(x, cos(y)), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.45049447314371127), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(mult(cos(add(abs(scalar(-0.1625639188567125)), abs(pow(scalar(-0.8927871740802318), scalar(0.4606254211174825))))), cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), x)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(cos(y)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, add(abs(abs(y)), scalar(-0.8927871740802318)))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(sign(sign(scalar(-0.1625639188567125))), scalar(-0.8927871740802318))))), tan(x)))))))"
1,1.2090787887573242,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), mult(x, scalar(-0.5112646882434502)))))), sub(mult(x, cos(y)), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.45049447314371127), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(mult(cos(add(abs(scalar(-0.1625639188567125)), abs(pow(scalar(-0.8927871740802318), scalar(0.4606254211174825))))), cos(abs(sign(scalar(-0.19734703202021397)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(cos(y)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, add(abs(abs(y)), scalar(-0.8927871740802318)))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(sign(sign(scalar(-0.1625639188567125))), scalar(-0.8927871740802318))))), tan(x)))))))"
2,1.2039964199066162,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), mult(x, scalar(-0.5112646882434502)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.45049447314371127), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(mult(cos(add(abs(scalar(-0.1625639188567125)), abs(pow(scalar(-0.8927871740802318), scalar(0.4606254211174825))))), cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), x)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(cos(y)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, add(abs(abs(y)), scalar(-0.8927871740802318)))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(sign(sign(scalar(-0.1625639188567125))), scalar(-0.8927871740802318))))), tan(x)))))))"
3,1.2039964199066162,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), mult(x, scalar(-0.5112646882434502)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.45049447314371127), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(mult(cos(add(abs(scalar(-0.1625639188567125)), abs(pow(scalar(-0.8927871740802318), scalar(0.4606254211174825))))), cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), x)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(cos(y)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, add(abs(abs(y)), scalar(-0.8927871740802318)))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(sign(sign(scalar(-0.1625639188567125))), scalar(-0.8927871740802318))))), tan(x)))))))"
4,1.2039964199066162,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), mult(x, scalar(-0.5112646882434502)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.45049447314371127), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(mult(cos(add(abs(scalar(-0.1625639188567125)), abs(pow(scalar(-0.8927871740802318), scalar(0.4606254211174825))))), cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), x)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(cos(y)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, add(abs(abs(y)), scalar(-0.8927871740802318)))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(sign(sign(scalar(-0.1625639188567125))), scalar(-0.8927871740802318))))), tan(x)))))))"
5,1.2039964199066162,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), mult(x, scalar(-0.5112646882434502)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.45049447314371127), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(mult(cos(add(abs(scalar(-0.1625639188567125)), abs(pow(scalar(-0.8927871740802318), scalar(0.4606254211174825))))), cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), x)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(cos(y)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, add(abs(abs(y)), scalar(-0.8927871740802318)))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(sign(sign(scalar(-0.1625639188567125))), scalar(-0.8927871740802318))))), tan(x)))))))"
6,1.168552279472351,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), x)))), sub(mult(sign(scalar(-0.49599927484887885)), x), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.1625639188567125), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(mult(cos(add(abs(scalar(-0.1625639188567125)), abs(pow(scalar(-0.8927871740802318), scalar(0.4606254211174825))))), cos(mult(sub(y, scalar(-0.8927871740802318)), abs(sub(sub(add(y, scalar(-0.1627866294836815)), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), x))))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.1625639188567125))))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, scalar(-0.8927871740802318))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(y, scalar(-0.8927871740802318))))), tan(x)))))))"
7,1.168552279472351,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), x)))), sub(mult(sign(scalar(-0.49599927484887885)), x), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.1625639188567125), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(mult(cos(add(abs(scalar(-0.1625639188567125)), abs(pow(scalar(-0.8927871740802318), scalar(0.4606254211174825))))), cos(mult(sub(y, scalar(-0.8927871740802318)), abs(sub(sub(add(y, scalar(-0.1627866294836815)), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), x))))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.1625639188567125))))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, scalar(-0.8927871740802318))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(y, scalar(-0.8927871740802318))))), tan(x)))))))"
8,1.1574431657791138,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), mult(x, scalar(-0.5112646882434502)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.45049447314371127), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, add(abs(abs(y)), scalar(-0.8927871740802318))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(cos(y)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(mult(x, add(abs(abs(y)), scalar(-0.8927871740802318))), x)), sub(y, add(abs(abs(y)), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318)))))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(sign(sign(scalar(-0.1625639188567125))), scalar(-0.8927871740802318))))), tan(x)))))))"
9,1.1492862701416016,"pow(abs(mult(mult(sub(mult(abs(abs(sub(tan(sub(abs(y), scalar(-0.8927871740802318))), scalar(0.9058427979853736)))), abs(sub(sign(scalar(-0.19734703202021397)), mult(cos(abs(sub(sub(mult(y, x), abs(scalar(-0.1625639188567125))), mult(add(y, scalar(-0.19734703202021397)), mult(x, scalar(-0.5112646882434502)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), scalar(-0.8927871740802318)))))), abs(add(abs(abs(y)), mult(abs(tan(sub(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125))), mult(cos(scalar(-0.8927871740802318)), x)))), scalar(0.7960772701630554))))), abs(cos(y))), abs(mult(abs(pow(mult(abs(scalar(-0.1625639188567125)), add(add(sin(add(x, div(scalar(-0.45049447314371127), scalar(0.789938740093201)))), cos(cos(scalar(-0.8927871740802318)))), mult(sign(scalar(-0.1625639188567125)), add(sub(y, scalar(-0.8927871740802318)), scalar(-0.8927871740802318))))), scalar(-0.9739960141874271))), mult(abs(mult(sub(cos(y), add(mult(abs(scalar(-0.1625639188567125)), abs(abs(sign(scalar(-0.1625639188567125))))), scalar(-0.8927871740802318))), cos(mult(abs(sub(y, scalar(-0.8927871740802318))), abs(scalar(-0.1625639188567125)))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(sign(scalar(-0.19734703202021397))))))), sub(mult(scalar(-0.8927871740802318), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(sub(sub(mult(y, x), abs(abs(scalar(-0.1625639188567125)))), mult(cos(scalar(-0.8927871740802318)), x))))))))), sub(abs(mult(abs(mult(abs(mult(cos(add(abs(cos(scalar(-0.8927871740802318))), abs(pow(scalar(-0.8927871740802318), scalar(0.4606254211174825))))), cos(abs(sign(y))))), div(add(sin(cos(mult(x, add(sub(y, scalar(-0.8927871740802318)), abs(cos(y)))))), sub(mult(sign(scalar(-0.49599927484887885)), x), tan(sub(mult(add(y, scalar(-0.1625639188567125)), scalar(0.7960772701630554)), scalar(-0.017328300655803597))))), abs(mult(mult(scalar(-0.8927871740802318), sub(y, scalar(-0.8927871740802318))), x))))), add(add(add(add(y, mult(tan(x), x)), sub(y, add(abs(abs(y)), scalar(-0.8927871740802318)))), y), sub(add(add(sign(y), scalar(-0.19734703202021397)), cos(scalar(-0.8927871740802318))), scalar(-0.8927871740802318))))), abs(abs(abs(mult(sub(x, mult(x, mult(abs(y), sub(sign(sign(scalar(-0.1625639188567125))), scalar(-0.8927871740802318))))), tan(x)))))))"
